InvoiceNo,InvoiceDate,CustomerID
536365,12/1/10 8:26,17850.0
536366,12/1/10 8:28,17850.0
536367,12/1/10 8:34,13047.0
536368,12/1/10 8:34,13047.0
536369,12/1/10 8:35,13047.0
536370,12/1/10 8:45,12583.0
536371,12/1/10 9:00,13748.0
536372,12/1/10 9:01,17850.0
536373,12/1/10 9:02,17850.0
536374,12/1/10 9:09,15100.0
536375,12/1/10 9:32,17850.0
536376,12/1/10 9:32,15291.0
536377,12/1/10 9:34,17850.0
536378,12/1/10 9:37,14688.0
536380,12/1/10 9:41,17809.0
536381,12/1/10 9:41,15311.0
C536379,12/1/10 9:41,14527.0
536382,12/1/10 9:45,16098.0
C536383,12/1/10 9:49,15311.0
536384,12/1/10 9:53,18074.0
536385,12/1/10 9:56,17420.0
536386,12/1/10 9:57,16029.0
536387,12/1/10 9:58,16029.0
536388,12/1/10 9:59,16250.0
536389,12/1/10 10:03,12431.0
536390,12/1/10 10:19,17511.0
C536391,12/1/10 10:24,17548.0
536392,12/1/10 10:29,13705.0
536393,12/1/10 10:37,13747.0
536394,12/1/10 10:39,13408.0
536395,12/1/10 10:47,13767.0
536396,12/1/10 10:51,17850.0
536397,12/1/10 10:51,17924.0
536398,12/1/10 10:52,13448.0
536399,12/1/10 10:52,17850.0
536400,12/1/10 10:53,13448.0
536401,12/1/10 11:21,15862.0
536402,12/1/10 11:22,15513.0
536403,12/1/10 11:27,12791.0
536404,12/1/10 11:29,16218.0
536405,12/1/10 11:32,14045.0
536406,12/1/10 11:33,17850.0
536407,12/1/10 11:34,17850.0
536408,12/1/10 11:41,14307.0
536409,12/1/10 11:45,17908.0
536412,12/1/10 11:49,17920.0
536414,12/1/10 11:52,
536415,12/1/10 11:57,12838.0
536416,12/1/10 11:58,13255.0
536420,12/1/10 12:03,16583.0
536423,12/1/10 12:08,18085.0
536425,12/1/10 12:08,13758.0
536437,12/1/10 12:12,13694.0
536446,12/1/10 12:15,15983.0
536460,12/1/10 12:22,14849.0
536463,12/1/10 12:22,14849.0
536464,12/1/10 12:23,17968.0
536466,12/1/10 12:23,14849.0
536477,12/1/10 12:27,16210.0
536488,12/1/10 12:31,17897.0
536500,12/1/10 12:35,17377.0
536502,12/1/10 12:36,16552.0
536508,12/1/10 12:38,17181.0
C536506,12/1/10 12:38,17897.0
536514,12/1/10 12:40,17951.0
536520,12/1/10 12:43,14729.0
536521,12/1/10 12:48,12748.0
536522,12/1/10 12:49,15012.0
536523,12/1/10 12:50,12868.0
536524,12/1/10 12:51,17572.0
536525,12/1/10 12:54,14078.0
536526,12/1/10 12:58,14001.0
536527,12/1/10 13:04,12662.0
536528,12/1/10 13:17,15525.0
536529,12/1/10 13:20,14237.0
536530,12/1/10 13:21,17905.0
536531,12/1/10 13:23,15485.0
536532,12/1/10 13:24,12433.0
536533,12/1/10 13:31,16955.0
536534,12/1/10 13:33,15350.0
536535,12/1/10 13:38,15605.0
536536,12/1/10 13:45,18144.0
536537,12/1/10 13:51,15922.0
536538,12/1/10 13:54,14594.0
536539,12/1/10 14:03,15165.0
536540,12/1/10 14:05,14911.0
536541,12/1/10 14:05,14911.0
536542,12/1/10 14:11,16456.0
C536543,12/1/10 14:30,17841.0
536544,12/1/10 14:32,
536545,12/1/10 14:32,
536546,12/1/10 14:33,
536547,12/1/10 14:33,
C536548,12/1/10 14:33,12472.0
536549,12/1/10 14:34,
536550,12/1/10 14:34,
536551,12/1/10 14:34,17346.0
536552,12/1/10 14:34,
536553,12/1/10 14:35,
536554,12/1/10 14:35,
536555,12/1/10 14:37,
536556,12/1/10 14:38,17643.0
536557,12/1/10 14:41,17841.0
536558,12/1/10 14:48,
536559,12/1/10 14:54,17873.0
536560,12/1/10 15:00,13093.0
536561,12/1/10 15:06,12921.0
536562,12/1/10 15:08,13468.0
536563,12/1/10 15:08,17760.0
536564,12/1/10 15:08,13468.0
536565,12/1/10 15:15,
536566,12/1/10 15:21,16928.0
536567,12/1/10 15:27,16048.0
536568,12/1/10 15:28,16048.0
536569,12/1/10 15:35,16274.0
536570,12/1/10 15:35,14496.0
536571,12/1/10 15:37,14696.0
536572,12/1/10 15:40,16539.0
536573,12/1/10 15:45,17025.0
536574,12/1/10 15:46,17025.0
536575,12/1/10 16:01,13777.0
536576,12/1/10 16:11,13777.0
536577,12/1/10 16:13,13777.0
536578,12/1/10 16:15,17690.0
536579,12/1/10 16:16,13777.0
536580,12/1/10 16:17,17690.0
536581,12/1/10 16:19,13777.0
536582,12/1/10 16:21,12947.0
536583,12/1/10 16:21,13777.0
536584,12/1/10 16:22,13777.0
536585,12/1/10 16:24,17460.0
536586,12/1/10 16:25,18229.0
536587,12/1/10 16:33,14142.0
536588,12/1/10 16:49,17069.0
536589,12/1/10 16:50,
536590,12/1/10 16:52,13065.0
536591,12/1/10 16:57,14606.0
536591,12/1/10 16:58,14606.0
536592,12/1/10 17:06,
536593,12/1/10 17:15,16835.0
536594,12/1/10 17:22,15235.0
536595,12/1/10 17:24,13576.0
536596,12/1/10 17:29,
536597,12/1/10 17:35,18011.0
536598,12/2/10 7:48,13090.0
536599,12/2/10 7:49,15694.0
536600,12/2/10 8:32,17850.0
536601,12/2/10 8:33,17850.0
536602,12/2/10 8:34,17850.0
536603,12/2/10 8:40,17850.0
536604,12/2/10 8:43,14741.0
536605,12/2/10 8:52,13715.0
C536606,12/2/10 9:10,14092.0
536607,12/2/10 9:29,17732.0
536608,12/2/10 9:37,12855.0
536609,12/2/10 9:41,17850.0
536610,12/2/10 9:42,17850.0
536611,12/2/10 9:43,15752.0
536612,12/2/10 9:44,17850.0
536613,12/2/10 9:44,17855.0
536614,12/2/10 9:44,17850.0
536615,12/2/10 10:09,14047.0
536616,12/2/10 10:10,17925.0
536617,12/2/10 10:17,13941.0
536618,12/2/10 10:17,17017.0
536619,12/2/10 10:18,17017.0
536620,12/2/10 10:27,14135.0
536621,12/2/10 10:35,13108.0
C536622,12/2/10 10:37,12471.0
536623,12/2/10 10:39,15601.0
536624,12/2/10 10:45,13418.0
536626,12/2/10 10:46,13418.0
C536625,12/2/10 10:46,14766.0
536627,12/2/10 10:53,15658.0
536628,12/2/10 10:54,17850.0
536629,12/2/10 10:55,17850.0
536630,12/2/10 10:56,17850.0
536631,12/2/10 10:58,17850.0
536632,12/2/10 11:02,14388.0
536633,12/2/10 11:20,14901.0
536634,12/2/10 11:21,18041.0
536635,12/2/10 11:22,15955.0
536636,12/2/10 11:23,15070.0
536637,12/2/10 11:35,18041.0
536638,12/2/10 11:41,16244.0
536639,12/2/10 11:45,15111.0
536640,12/2/10 11:45,
536641,12/2/10 11:46,12748.0
C536642,12/2/10 11:56,14390.0
536643,12/2/10 11:57,14390.0
536663,12/2/10 12:07,16546.0
536667,12/2/10 12:09,15260.0
536670,12/2/10 12:09,15260.0
536671,12/2/10 12:10,13305.0
536672,12/2/10 12:10,14491.0
536673,12/2/10 12:11,14060.0
536674,12/2/10 12:16,15923.0
536676,12/2/10 12:18,16752.0
536681,12/2/10 12:22,17287.0
536685,12/2/10 12:23,17850.0
536688,12/2/10 12:24,17850.0
536690,12/2/10 12:25,17850.0
536693,12/2/10 12:26,17850.0
536698,12/2/10 12:28,15363.0
536707,12/2/10 12:33,12915.0
536732,12/2/10 12:47,15544.0
536733,12/2/10 12:50,15738.0
C536734,12/2/10 12:50,16042.0
536735,12/2/10 12:58,17381.0
536736,12/2/10 12:59,17381.0
C536737,12/2/10 13:05,15922.0
536738,12/2/10 13:06,15827.0
536739,12/2/10 13:08,14180.0
536740,12/2/10 13:08,15827.0
536741,12/2/10 13:11,13117.0
536742,12/2/10 13:14,16916.0
536743,12/2/10 13:32,17964.0
536744,12/2/10 13:36,14466.0
536745,12/2/10 13:38,17235.0
536746,12/2/10 13:39,16510.0
536747,12/2/10 13:44,17802.0
