DateKey,Date,Year,Month,Day,Quarter,MonthName
1,2010-12-01,2010,12,1,4,December
2,2010-12-02,2010,12,2,4,December
3,2010-12-03,2010,12,3,4,December
4,2010-12-05,2010,12,5,4,December
5,2010-12-06,2010,12,6,4,December
6,2010-12-07,2010,12,7,4,December
7,2010-12-08,2010,12,8,4,December
8,2010-12-09,2010,12,9,4,December
9,2010-12-10,2010,12,10,4,December
10,2010-12-12,2010,12,12,4,December
11,2010-12-13,2010,12,13,4,December
12,2010-12-14,2010,12,14,4,December
13,2010-12-15,2010,12,15,4,December
14,2010-12-16,2010,12,16,4,December
15,2010-12-17,2010,12,17,4,December
16,2010-12-19,2010,12,19,4,December
17,2010-12-20,2010,12,20,4,December
18,2010-12-21,2010,12,21,4,December
19,2010-12-22,2010,12,22,4,December
20,2010-12-23,2010,12,23,4,December
21,2011-01-04,2011,1,4,1,January
22,2011-01-05,2011,1,5,1,January
23,2011-01-06,2011,1,6,1,January
24,2011-01-07,2011,1,7,1,January
25,2011-01-09,2011,1,9,1,January
26,2011-01-10,2011,1,10,1,January
27,2011-01-11,2011,1,11,1,January
28,2011-01-12,2011,1,12,1,January
29,2011-01-13,2011,1,13,1,January
30,2011-01-14,2011,1,14,1,January
31,2011-01-16,2011,1,16,1,January
32,2011-01-17,2011,1,17,1,January
33,2011-01-18,2011,1,18,1,January
34,2011-01-19,2011,1,19,1,January
35,2011-01-20,2011,1,20,1,January
36,2011-01-21,2011,1,21,1,January
37,2011-01-23,2011,1,23,1,January
38,2011-01-24,2011,1,24,1,January
39,2011-01-25,2011,1,25,1,January
40,2011-01-26,2011,1,26,1,January
41,2011-01-27,2011,1,27,1,January
42,2011-01-28,2011,1,28,1,January
43,2011-01-30,2011,1,30,1,January
44,2011-01-31,2011,1,31,1,January
45,2011-02-01,2011,2,1,1,February
46,2011-02-02,2011,2,2,1,February
47,2011-02-03,2011,2,3,1,February
48,2011-02-04,2011,2,4,1,February
49,2011-02-06,2011,2,6,1,February
50,2011-02-07,2011,2,7,1,February
51,2011-02-08,2011,2,8,1,February
52,2011-02-09,2011,2,9,1,February
53,2011-02-10,2011,2,10,1,February
54,2011-02-11,2011,2,11,1,February
55,2011-02-13,2011,2,13,1,February
56,2011-02-14,2011,2,14,1,February
57,2011-02-15,2011,2,15,1,February
58,2011-02-16,2011,2,16,1,February
59,2011-02-17,2011,2,17,1,February
60,2011-02-18,2011,2,18,1,February
61,2011-02-20,2011,2,20,1,February
62,2011-02-21,2011,2,21,1,February
63,2011-02-22,2011,2,22,1,February
64,2011-02-23,2011,2,23,1,February
65,2011-02-24,2011,2,24,1,February
66,2011-02-25,2011,2,25,1,February
67,2011-02-27,2011,2,27,1,February
68,2011-02-28,2011,2,28,1,February
69,2011-03-01,2011,3,1,1,March
70,2011-03-02,2011,3,2,1,March
71,2011-03-03,2011,3,3,1,March
72,2011-03-04,2011,3,4,1,March
73,2011-03-06,2011,3,6,1,March
74,2011-03-07,2011,3,7,1,March
75,2011-03-08,2011,3,8,1,March
76,2011-03-09,2011,3,9,1,March
77,2011-03-10,2011,3,10,1,March
78,2011-03-11,2011,3,11,1,March
79,2011-03-13,2011,3,13,1,March
80,2011-03-14,2011,3,14,1,March
81,2011-03-15,2011,3,15,1,March
82,2011-03-16,2011,3,16,1,March
83,2011-03-17,2011,3,17,1,March
84,2011-03-18,2011,3,18,1,March
85,2011-03-20,2011,3,20,1,March
86,2011-03-21,2011,3,21,1,March
87,2011-03-22,2011,3,22,1,March
88,2011-03-23,2011,3,23,1,March
89,2011-03-24,2011,3,24,1,March
90,2011-03-25,2011,3,25,1,March
91,2011-03-27,2011,3,27,1,March
92,2011-03-28,2011,3,28,1,March
93,2011-03-29,2011,3,29,1,March
94,2011-03-30,2011,3,30,1,March
