SalesKey,InvoiceNo,CustomerKey,ProductKey,DateKey,Quantity,UnitPrice,Revenue
1,536365,1965,2576,1,6.0,2.55,15.299999999999999
2,536365,1965,2049,1,6.0,3.39,20.34
3,536365,1965,2226,1,8.0,2.75,22.0
4,536365,1965,2181,1,6.0,3.39,20.34
5,536365,1965,2180,1,6.0,3.39,20.34
6,536365,1965,1559,1,2.0,7.65,15.3
7,536365,1965,717,1,6.0,4.25,25.5
8,536366,1965,1445,1,6.0,1.85,11.100000000000001
9,536366,1965,1444,1,6.0,1.85,11.100000000000001
10,536367,271,2408,1,32.0,1.69,54.08
11,536367,271,1552,1,6.0,2.1,12.600000000000001
12,536367,271,1555,1,6.0,2.1,12.600000000000001
13,536367,271,1556,1,8.0,3.75,30.0
14,536367,271,1148,1,6.0,1.65,9.899999999999999
15,536367,271,2461,1,6.0,4.25,25.5
16,536367,271,1435,1,3.0,4.95,14.850000000000001
17,536367,271,1434,1,2.0,9.95,19.9
18,536367,271,733,1,3.0,5.95,17.85
19,536367,271,734,1,3.0,5.95,17.85
20,536367,271,745,1,4.0,7.95,31.8
21,536367,271,2030,1,4.0,7.95,31.8
22,536368,271,1757,1,6.0,4.25,25.5
23,536368,271,1713,1,3.0,4.95,14.850000000000001
24,536368,271,1712,1,3.0,4.95,14.850000000000001
25,536368,271,1714,1,3.0,4.95,14.850000000000001
26,536369,271,735,1,3.0,5.95,17.85
27,536370,95,1535,1,24.0,3.75,90.0
28,536370,95,1534,1,24.0,3.75,90.0
29,536370,95,1533,1,12.0,3.75,45.0
30,536370,95,714,1,12.0,0.85,10.2
31,536370,95,816,1,24.0,0.65,15.600000000000001
32,536370,95,1,1,48.0,0.85,40.8
33,536370,95,754,1,24.0,1.25,30.0
34,536370,95,288,1,18.0,2.95,53.1
35,536370,95,1164,1,24.0,2.95,70.80000000000001
36,536370,95,1441,1,24.0,1.95,46.8
37,536370,95,1468,1,24.0,1.95,46.8
38,536370,95,1443,1,24.0,1.95,46.8
39,536370,95,1470,1,20.0,0.85,17.0
40,536370,95,718,1,24.0,1.65,39.599999999999994
41,536370,95,1701,1,24.0,2.95,70.80000000000001
42,536370,95,841,1,12.0,3.75,45.0
43,536370,95,1357,1,24.0,0.42,10.08
44,536370,95,1360,1,24.0,0.42,10.08
45,536370,95,1312,1,36.0,0.65,23.400000000000002
46,536370,95,2878,1,3.0,18.0,54.0
47,536371,506,950,1,80.0,2.55,204.0
48,536372,1965,1444,1,6.0,1.85,11.100000000000001
49,536372,1965,1445,1,6.0,1.85,11.100000000000001
50,536373,1965,2576,1,6.0,2.55,15.299999999999999
51,536373,1965,2049,1,6.0,3.39,20.34
52,536373,1965,2226,1,8.0,2.75,22.0
53,536373,1965,130,1,6.0,4.95,29.700000000000003
54,536373,1965,1915,1,6.0,1.06,6.36
55,536373,1965,804,1,6.0,1.06,6.36
56,536373,1965,312,1,6.0,1.06,6.36
