InvoiceNo,StockCode,CustomerID,InvoiceDate,Quantity,UnitPrice,Revenue,Year,Month,Day,Country
536365,85123A,17850,2010-12-01 08:26:00,6,2.55,15.299999999999999,2010,12,1,United Kingdom
536365,71053,17850,2010-12-01 08:26:00,6,3.39,20.34,2010,12,1,United Kingdom
536365,84406B,17850,2010-12-01 08:26:00,8,2.75,22.0,2010,12,1,United Kingdom
536365,84029G,17850,2010-12-01 08:26:00,6,3.39,20.34,2010,12,1,United Kingdom
536365,84029E,17850,2010-12-01 08:26:00,6,3.39,20.34,2010,12,1,United Kingdom
536365,22752,17850,2010-12-01 08:26:00,2,7.65,15.3,2010,12,1,United Kingdom
536365,21730,17850,2010-12-01 08:26:00,6,4.25,25.5,2010,12,1,United Kingdom
536366,22633,17850,2010-12-01 08:28:00,6,1.85,11.100000000000001,2010,12,1,United Kingdom
536366,22632,17850,2010-12-01 08:28:00,6,1.85,11.100000000000001,2010,12,1,United Kingdom
536367,84879,13047,2010-12-01 08:34:00,32,1.69,54.08,2010,12,1,United Kingdom
536367,22745,13047,2010-12-01 08:34:00,6,2.1,12.600000000000001,2010,12,1,United Kingdom
536367,22748,13047,2010-12-01 08:34:00,6,2.1,12.600000000000001,2010,12,1,United Kingdom
536367,22749,13047,2010-12-01 08:34:00,8,3.75,30.0,2010,12,1,United Kingdom
536367,22310,13047,2010-12-01 08:34:00,6,1.65,9.899999999999999,2010,12,1,United Kingdom
536367,84969,13047,2010-12-01 08:34:00,6,4.25,25.5,2010,12,1,United Kingdom
536367,22623,13047,2010-12-01 08:34:00,3,4.95,14.850000000000001,2010,12,1,United Kingdom
536367,22622,13047,2010-12-01 08:34:00,2,9.95,19.9,2010,12,1,United Kingdom
536367,21754,13047,2010-12-01 08:34:00,3,5.95,17.85,2010,12,1,United Kingdom
536367,21755,13047,2010-12-01 08:34:00,3,5.95,17.85,2010,12,1,United Kingdom
536367,21777,13047,2010-12-01 08:34:00,4,7.95,31.8,2010,12,1,United Kingdom
536367,48187,13047,2010-12-01 08:34:00,4,7.95,31.8,2010,12,1,United Kingdom
536368,22960,13047,2010-12-01 08:34:00,6,4.25,25.5,2010,12,1,United Kingdom
536368,22913,13047,2010-12-01 08:34:00,3,4.95,14.850000000000001,2010,12,1,United Kingdom
536368,22912,13047,2010-12-01 08:34:00,3,4.95,14.850000000000001,2010,12,1,United Kingdom
536368,22914,13047,2010-12-01 08:34:00,3,4.95,14.850000000000001,2010,12,1,United Kingdom
536369,21756,13047,2010-12-01 08:35:00,3,5.95,17.85,2010,12,1,United Kingdom
536370,22728,12583,2010-12-01 08:45:00,24,3.75,90.0,2010,12,1,France
536370,22727,12583,2010-12-01 08:45:00,24,3.75,90.0,2010,12,1,France
536370,22726,12583,2010-12-01 08:45:00,12,3.75,45.0,2010,12,1,France
536370,21724,12583,2010-12-01 08:45:00,12,0.85,10.2,2010,12,1,France
536370,21883,12583,2010-12-01 08:45:00,24,0.65,15.600000000000001,2010,12,1,France
536370,10002,12583,2010-12-01 08:45:00,48,0.85,40.8,2010,12,1,France
536370,21791,12583,2010-12-01 08:45:00,24,1.25,30.0,2010,12,1,France
536370,21035,12583,2010-12-01 08:45:00,18,2.95,53.1,2010,12,1,France
536370,22326,12583,2010-12-01 08:45:00,24,2.95,70.80000000000001,2010,12,1,France
536370,22629,12583,2010-12-01 08:45:00,24,1.95,46.8,2010,12,1,France
536370,22659,12583,2010-12-01 08:45:00,24,1.95,46.8,2010,12,1,France
536370,22631,12583,2010-12-01 08:45:00,24,1.95,46.8,2010,12,1,France
536370,22661,12583,2010-12-01 08:45:00,20,0.85,17.0,2010,12,1,France
536370,21731,12583,2010-12-01 08:45:00,24,1.65,39.599999999999994,2010,12,1,France
536370,22900,12583,2010-12-01 08:45:00,24,2.95,70.80000000000001,2010,12,1,France
536370,21913,12583,2010-12-01 08:45:00,12,3.75,45.0,2010,12,1,France
536370,22540,12583,2010-12-01 08:45:00,24,0.42,10.08,2010,12,1,France
536370,22544,12583,2010-12-01 08:45:00,24,0.42,10.08,2010,12,1,France
536370,22492,12583,2010-12-01 08:45:00,36,0.65,23.400000000000002,2010,12,1,France
536370,POST,12583,2010-12-01 08:45:00,3,18.0,54.0,2010,12,1,France
536371,22086,13748,2010-12-01 09:00:00,80,2.55,204.0,2010,12,1,United Kingdom
536372,22632,17850,2010-12-01 09:01:00,6,1.85,11.100000000000001,2010,12,1,United Kingdom
536372,22633,17850,2010-12-01 09:01:00,6,1.85,11.100000000000001,2010,12,1,United Kingdom
536373,85123A,17850,2010-12-01 09:02:00,6,2.55,15.299999999999999,2010,12,1,United Kingdom
536373,71053,17850,2010-12-01 09:02:00,6,3.39,20.34,2010,12,1,United Kingdom
536373,84406B,17850,2010-12-01 09:02:00,8,2.75,22.0,2010,12,1,United Kingdom
536373,20679,17850,2010-12-01 09:02:00,6,4.95,29.700000000000003,2010,12,1,United Kingdom
536373,37370,17850,2010-12-01 09:02:00,6,1.06,6.36,2010,12,1,United Kingdom
536373,21871,17850,2010-12-01 09:02:00,6,1.06,6.36,2010,12,1,United Kingdom
536373,21071,17850,2010-12-01 09:02:00,6,1.06,6.36,2010,12,1,United Kingdom
536373,21068,17850,2010-12-01 09:02:00,6,1.06,6.36,2010,12,1,United Kingdom
536373,82483,17850,2010-12-01 09:02:00,2,4.95,9.9,2010,12,1,United Kingdom
536373,82486,17850,2010-12-01 09:02:00,4,6.95,27.8,2010,12,1,United Kingdom
536373,82482,17850,2010-12-01 09:02:00,6,2.1,12.600000000000001,2010,12,1,United Kingdom
536373,82494L,17850,2010-12-01 09:02:00,6,2.55,15.299999999999999,2010,12,1,United Kingdom
536373,84029G,17850,2010-12-01 09:02:00,6,3.39,20.34,2010,12,1,United Kingdom
536373,84029E,17850,2010-12-01 09:02:00,6,3.39,20.34,2010,12,1,United Kingdom
536373,22752,17850,2010-12-01 09:02:00,2,7.65,15.3,2010,12,1,United Kingdom
536373,21730,17850,2010-12-01 09:02:00,6,4.25,25.5,2010,12,1,United Kingdom
536374,21258,15100,2010-12-01 09:09:00,32,10.95,350.4,2010,12,1,United Kingdom
536375,85123A,17850,2010-12-01 09:32:00,6,2.55,15.299999999999999,2010,12,1,United Kingdom
536375,71053,17850,2010-12-01 09:32:00,6,3.39,20.34,2010,12,1,United Kingdom
536375,84406B,17850,2010-12-01 09:32:00,8,2.75,22.0,2010,12,1,United Kingdom
