Country,1,2,3,4,5,6,7,8,9,10,11,12
Australia,9017.710000000001,14695.42,17223.99,771.6,13638.41,25187.77,4964.38,22489.2,5106.7300000000005,17150.53,7242.72,1032.85
Austria,0.0,518.36,1708.12,680.78,1249.43,0.0,1191.95,1516.08,0.0,1043.78,1329.78,960.4000000000001
Bahrain,0.0,0.0,0.0,0.0,548.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1200.2,2181.07,3351.98,1989.48,2732.4,4274.82,2475.57,3554.02,4208.02,5685.38,6315.76,3227.64
Brazil,0.0,0.0,0.0,1143.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,140.54,0.0,534.24,1171.46,1768.58,51.559999999999995,0.0,0.0,0.0,0.0
Channel Islands,675.58,1784.71,3509.33,293.0,1207.24,2060.0299999999997,0.0,4896.78,1323.75,2623.32,1514.77,561.9300000000001
Cyprus,547.5,4334.24,938.39,0.0,0.0,1109.32,0.0,0.0,196.35,4412.87,460.89,1590.82
Czech Republic,0.0,549.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.48,0.0,0.0
Denmark,0.0,399.22,3978.9900000000002,0.0,515.7,3261.15,376.24,213.15,4570.16,1490.76,2699.57,1450.4
EIRE,21904.19,10126.52,21674.36,7570.5,15982.19,19835.99,40905.15,16967.38,40995.49,24317.920000000002,29473.41,15792.8
European Community,0.0,0.0,0.0,191.4,0.0,432.05,676.8,0.0,0.0,0.0,0.0,0.0
Finland,889.02,205.16,5936.82,1688.92,0.0,329.56,2996.73,1376.5,1105.45,2822.12,3070.24,2125.56
France,17740.12,8515.96,14589.55,5529.61,17614.88,16078.97,10000.19,13810.96,23428.04,33485.45,31337.09,16893.23
Germany,16910.84,9581.05,14392.69,12315.54,25751.2,13274.1,16440.98,19220.77,18091.22,31638.42,28025.02,23225.31
Greece,2661.24,0.0,387.31,609.74,0.0,0.0,421.24,0.0,0.0,0.0,0.0,680.99
Iceland,475.39,0.0,0.0,636.25,0.0,382.52,0.0,584.9100000000001,0.0,1294.32,0.0,936.61
Israel,0.0,779.1,0.0,0.0,0.0,0.0,1430.75,4873.8099999999995,0.0,138.03,0.0,0.0
Italy,2402.51,256.0,1806.81,737.8299999999999,587.45,202.07,147.1,1990.95,279.8,3489.69,4571.08,1011.95
Japan,0.0,5780.8099999999995,48.9,6548.5,1351.45,1607.04,3854.4,0.0,112.07999999999998,1948.0400000000002,8460.08,7705.07
Lebanon,1693.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.06
Malta,0.0,0.0,0.0,0.0,0.0,863.16,0.0,1119.0,0.0,0.0,743.43,0.0
Netherlands,26611.16,23011.91,22416.489999999998,2976.56,29185.88,26858.09,26.02,40327.81,26937.26,40708.65,25874.01,20512.5
Norway,0.0,630.9,1265.31,0.0,0.0,5886.860000000001,890.0699999999999,2025.81,8678.94,3687.23,6527.5,6572.82
Poland,613.22,604.05,317.78,705.8399999999999,1522.37,343.65000000000003,687.3,401.8,529.25,0.0,1361.23,248.16
Portugal,4055.71,1213.9,2660.85,1687.75,4202.2300000000005,884.46,2287.85,1221.4,1433.22,5899.46,2644.9,5248.16
RSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.3100000000001,0.0,0.0
Saudi Arabia,0.0,145.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,2053.07,0.0,0.0,8209.58,0.0,0.0,3949.32,0.0,0.0,7067.32,0.0,0.0
Spain,10086.09,2114.5,5363.15,1785.65,3257.6,3333.21,7624.92,3346.91,5189.24,8636.94,8678.96,2159.94
Sweden,3486.32,509.5,4720.58,809.1,2681.98,832.0,6802.09,1400.8600000000001,4575.21,5766.16,2722.23,4072.3
Switzerland,4231.23,2654.92,1870.23,2076.94,3610.0099999999998,7904.15,3762.65,4969.89,8284.86,7655.19,8118.96,1304.92
USA,0.0,0.0,0.0,383.95,0.0,0.0,0.0,0.0,0.0,2311.2,0.0,885.24
United Arab Emirates,0.0,889.24,0.0,0.0,0.0,0.0,0.0,0.0,1013.04,0.0,0.0,0.0
United Kingdom,442190.06,355655.63,467198.59,409559.141,551568.82,524915.48,485612.251,498453.32,796780.272,824766.22,980645.75,971046.02
Unspecified,0.0,0.0,0.0,299.1,852.68,185.78,798.48,531.03,0.0,0.0,0.0,0.0
