Country,Year,TotalPrice
Australia,2011,137488.46
Austria,2011,9921.48
Bahrain,2011,548.4
Belgium,2011,39386.43
Brazil,2011,1143.6
Canada,2011,3666.38
Channel Islands,2011,20086.91
Cyprus,2011,11999.56
Czech Republic,2011,826.74
Denmark,2011,17673.84
EIRE,2011,256732.02
European Community,2011,1300.25
Finland,2011,21653.28
France,2011,199407.74
Germany,2011,213626.0
Greece,2011,4760.52
Iceland,2011,3598.21
Israel,2011,7221.69
Italy,2011,16671.74
Japan,2011,29711.3
Lebanon,2011,1693.88
Lithuania,2010,1661.06
Malta,2011,2725.59
Netherlands,2011,276661.86
Norway,2011,32378.32
Poland,2011,7086.49
Portugal,2011,30999.920000000002
RSA,2011,1002.3100000000001
Saudi Arabia,2011,145.92
Singapore,2011,21279.29
Spain,2011,59733.38
Sweden,2011,34544.03
Switzerland,2011,55139.03
USA,2011,3580.39
United Arab Emirates,2011,1902.28
United Kingdom,2011,6809729.704
Unspecified,2011,2667.07
