Country,StockCode,Description,TotalPrice
Australia,23084,RABBIT NIGHT LIGHT,3375.84
Australia,22722,SET OF 6 SPICE TINS PANTRY DESIGN,2082.0
Australia,21731,RED TOADSTOOL LED NIGHT LIGHT,1987.1999999999998
Australia,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1983.2
Australia,22423,REGENCY CAKESTAND 3 TIER,1978.1999999999998
Austria,POST,POSTAGE,1456.0
Austria,22582,PACK OF 6 SWEETIE GIFT BOXES,302.40000000000003
Austria,22584,PACK OF 6 PANNETONE GIFT BOXES,302.40000000000003
Austria,15056BL,EDWARDIAN PARASOL BLACK,214.20000000000002
Austria,15056N,EDWARDIAN PARASOL NATURAL,214.20000000000002
Bahrain,23076,ICE CREAM SUNDAE LIP GLOSS,120.0
Bahrain,23077,DOUGHNUT LIP GLOSS ,75.0
Bahrain,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,59.699999999999996
Bahrain,22649,STRAWBERRY FAIRY CAKE TEAPOT,39.6
Bahrain,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,30.0
Belgium,POST,POSTAGE,4269.0
Belgium,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1181.4
Belgium,22629,SPACEBOY LUNCH BOX ,643.8
Belgium,22630,DOLLY GIRL LUNCH BOX,643.8
Belgium,22423,REGENCY CAKESTAND 3 TIER,599.25
Brazil,22423,REGENCY CAKESTAND 3 TIER,175.2
Brazil,22722,SET OF 6 SPICE TINS PANTRY DESIGN,82.80000000000001
Brazil,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,81.36
Brazil,22366,DOORMAT AIRMAIL ,67.5
Brazil,22697,GREEN REGENCY TEACUP AND SAUCER,61.199999999999996
Canada,POST,POSTAGE,550.94
Canada,37370,RETRO COFFEE MUGS ASSORTED,534.24
Canada,20727,LUNCH BAG  BLACK SKULL.,82.5
Canada,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,60.48
Canada,22382,LUNCH BAG SPACEBOY DESIGN ,49.5
Channel Islands,22423,REGENCY CAKESTAND 3 TIER,517.8
Channel Islands,85099B,JUMBO BAG RED RETROSPOT,460.7
Channel Islands,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,408.0
Channel Islands,23199,JUMBO BAG APPLES,399.6
Channel Islands,85099C,JUMBO  BAG BAROQUE BLACK WHITE,399.6
Cyprus,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,580.0
Cyprus,15056N,EDWARDIAN PARASOL NATURAL,392.7
Cyprus,85123A,WHITE HANGING HEART T-LIGHT HOLDER,386.4
Cyprus,22423,REGENCY CAKESTAND 3 TIER,382.5
Cyprus,M,Manual,320.69
Czech Republic,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,70.80000000000001
Czech Republic,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,61.199999999999996
Czech Republic,22231,JIGSAW TREE WITH BIRDHOUSE,52.199999999999996
Czech Republic,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,51.0
Czech Republic,47594B,SCOTTIES DESIGN WASHBAG,46.8
Denmark,POST,POSTAGE,744.0
Denmark,22625,RED KITCHEN SCALES,734.4000000000001
Denmark,22624,IVORY KITCHEN SCALES,696.1500000000001
Denmark,22467,GUMBALL COAT RACK,575.1
Denmark,22179,SET 10 LIGHTS NIGHT OWL,428.40000000000003
EIRE,22423,REGENCY CAKESTAND 3 TIER,7388.55
EIRE,C2,CARRIAGE,4875.0
EIRE,22838,3 TIER CAKE TIN RED AND CREAM,4235.65
EIRE,M,Manual,3374.34
EIRE,22960,JAM MAKING SET WITH JARS,2976.0
European Community,POST,POSTAGE,141.0
European Community,22842,BISCUIT TIN VINTAGE RED,54.0
European Community,22843,BISCUIT TIN VINTAGE GREEN,54.0
European Community,22314,OFFICE MUG WARMER CHOC+BLUE,53.10000000000001
European Community,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,51.0
Finland,POST,POSTAGE,3650.0
Finland,84997D,CHILDRENS CUTLERY POLKADOT PINK,1819.2
Finland,84997C,CHILDRENS CUTLERY POLKADOT BLUE,1187.4
Finland,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,784.6
Finland,M,Manual,551.2
France,POST,POSTAGE,15454.0
France,M,Manual,9492.37
